,distance,cab_type,time_stamp,destination,price,surge_multiplier
307,2.16,Lyft,1543593785740,Back Bay,32.5,1.0
649501,3.26,Lyft,1543285102081,North Station,34.0,1.0
54338,1.08,Uber,1543300942043,Northeastern University,6.5,1.0
681732,2.58,Uber,1543249749983,Beacon Hill,21.5,1.0
517426,1.02,Lyft,1543796885990,North End,16.5,1.0
125158,1.33,Lyft,1545146405118,South Station,19.5,1.0
248453,1.97,Uber,1545099307564,Northeastern University,28.0,1.0
16502,1.34,Uber,1543448756695,Fenway,8.0,1.0
665955,0.49,Uber,1543797179473,North Station,15.0,1.0
108263,0.39,Uber,1543806778458,South Station,10.5,1.0
227134,0.72,Uber,1543466358653,Haymarket Square,11.5,1.0
51206,4.48,Uber,1544752812013,Fenway,30.5,1.0
43368,1.87,Lyft,1545134703799,West End,5.0,1.0
552331,1.07,Uber,1544760603571,Financial District,8.0,1.0
372111,0.98,Uber,1545008403512,North End,10.5,1.0
430323,0.43,Lyft,1543555982818,South Station,11.0,1.0
654574,1.0,Uber,1543786984063,Financial District,7.0,1.0
664999,1.5,Uber,1543847881338,Back Bay,6.5,1.0
299757,3.46,Lyft,1543778879683,Northeastern University,27.5,1.0
224008,3.1,Lyft,1543560482315,Fenway,19.5,1.0
